uwbtime,uwbx,uwby,uwbz
5.91152,1.31255,0.0264921,1.63695
5.92816,1.3137,0.026504,1.64083
5.94477,1.31032,0.0288575,1.64857
5.96155,1.3089,0.0298253,1.6457
5.97825,1.30878,0.0295565,1.64493
5.99466,1.30806,0.0305777,1.65183
6.01127,1.30856,0.0287815,1.65782
6.028,1.31034,0.0292418,1.65917
6.04471,1.30934,0.0305018,1.66732
6.06114,1.31205,0.0294736,1.67847
6.07802,1.31182,0.0308744,1.68591
6.09441,1.31459,0.0311775,1.6954
6.11128,1.31344,0.030973,1.70052
6.12784,1.31275,0.0294221,1.7028
6.14426,1.31723,0.0289084,1.70688
6.16089,1.3175,0.0278013,1.71316
6.17769,1.31692,0.0265578,1.71355
6.19434,1.31402,0.028199,1.7204
6.21076,1.30914,0.0309531,1.71944
6.22739,1.30641,0.0312351,1.72858
6.24406,1.3071,0.0314165,1.73051
6.26082,1.3054,0.0304242,1.7309
6.27727,1.3066,0.033865,1.73236
6.29387,1.30488,0.0362399,1.73136
6.31079,1.30276,0.0369204,1.73117
6.32733,1.30172,0.0366627,1.73211
6.34404,1.3068,0.0359018,1.73304
6.36037,1.30511,0.0328237,1.72913
6.377,1.30689,0.0284588,1.73376
6.39381,1.30562,0.0247768,1.72999
6.41045,1.30442,0.0250049,1.72829
6.44412,1.30917,0.02249,1.73296
6.47694,1.30493,0.0201268,1.74169
6.49374,1.30594,0.0244912,1.74206
6.51001,1.30718,0.0232074,1.74378
6.52685,1.31092,0.0185886,1.74669
6.54345,1.31535,0.0139695,1.74532
6.56006,1.31545,0.0122817,1.74107
6.57648,1.31635,0.00862895,1.73966
6.59312,1.31553,0.00576435,1.74307
6.6099,1.31429,0.00317828,1.74525
6.62646,1.31202,0.00274081,1.73993
6.64299,1.31325,0.0033965,1.73803
6.65961,1.31484,0.00499048,1.74098
6.67622,1.31499,0.0063584,1.73884
6.69306,1.31378,0.0071147,1.73886
6.7097,1.31647,0.00723661,1.73562
6.72611,1.31956,0.00459259,1.7355
6.75948,1.31971,0.00659672,1.73909
6.77625,1.31516,0.00628211,1.73529
6.79259,1.31126,0.00957472,1.73281
6.80988,1.30957,0.0081562,1.72931
6.82619,1.30789,0.00917924,1.72326
6.84265,1.3033,0.00644699,1.72895
6.87571,1.29791,0.00964556,1.72431
6.89237,1.29389,0.0103381,1.72228
6.9258,1.29484,0.0124985,1.72689
6.94224,1.29796,0.0152765,1.72532
6.95884,1.29215,0.0154567,1.72679
6.99229,1.29367,0.0137305,1.72553
7.00872,1.2891,0.0139469,1.72469
7.02535,1.28994,0.0157796,1.71954
7.04196,1.29258,0.0194843,1.72401
7.07521,1.29206,0.0152794,1.72161
7.09183,1.29712,0.0174795,1.72062
7.10846,1.29738,0.0186836,1.72337
7.14183,1.29478,0.020951,1.73055
7.15833,1.29532,0.0196531,1.72935
7.17514,1.2966,0.0199658,1.72824
7.19164,1.29079,0.0230823,1.71877
7.20835,1.29315,0.0216085,1.7227
7.22485,1.29813,0.0202548,1.71532
7.24144,1.30329,0.0180901,1.71686
7.25807,1.30776,0.0166846,1.72012
7.27489,1.30905,0.0148238,1.71969
7.29151,1.30963,0.0173746,1.71884
7.30794,1.30762,0.01643,1.71217
7.32456,1.30486,0.0190976,1.7177
7.3413,1.30377,0.0216861,1.72185
7.35802,1.30192,0.0230203,1.72253
7.37446,1.3017,0.0271248,1.7195
7.39107,1.30312,0.0286256,1.71264
7.40779,1.30464,0.0304105,1.70945
7.4245,1.30479,0.031159,1.70709
7.44093,1.30435,0.0310423,1.70308
7.45757,1.30249,0.0313311,1.70123
7.4742,1.29919,0.0308334,1.70388
7.491,1.29703,0.0291267,1.69717
7.50762,1.3004,0.0307344,1.69463
7.52405,1.2969,0.0318243,1.69591
7.54084,1.29657,0.0325034,1.69782
7.55739,1.29506,0.0315985,1.69745
7.57415,1.2929,0.0313487,1.69961
7.59058,1.29249,0.0324127,1.70144
7.60717,1.28824,0.034653,1.69433
7.62382,1.29,0.0364372,1.68996
7.64061,1.28877,0.03725,1.6932
7.6572,1.29327,0.0345941,1.69195
7.67367,1.29326,0.0338179,1.69468
7.69029,1.29545,0.0304331,1.6935
7.70706,1.296,0.024806,1.69847
7.72373,1.30139,0.023578,1.7058
7.74016,1.29975,0.0222897,1.69818
7.75685,1.3033,0.0222695,1.69805
7.77349,1.30253,0.0201173,1.69307
7.79027,1.30487,0.0195208,1.68596
7.80666,1.30238,0.0204483,1.68374
7.82328,1.30586,0.0236285,1.69115
7.83993,1.30465,0.0227489,1.68858
7.85673,1.30662,0.0193495,1.68943
7.87315,1.30724,0.0201668,1.68313
7.88978,1.31157,0.0210074,1.68012
7.90641,1.30938,0.0204006,1.67804
7.92321,1.30971,0.0193932,1.67733
7.93985,1.30791,0.016021,1.67701
7.95629,1.3127,0.0133936,1.68439
7.97289,1.31376,0.0120028,1.67725
7.98954,1.3171,0.012648,1.68019
8.00634,1.31382,0.0125161,1.67788
8.02277,1.31517,0.012103,1.68416
8.0394,1.31067,0.0111134,1.68031
8.0728,1.31042,0.00976994,1.68051
8.08949,1.30926,0.00994754,1.68179
8.10588,1.30964,0.0112971,1.68677
8.12251,1.30604,0.0155712,1.68267
8.13927,1.30767,0.0156639,1.68871
8.17238,1.30331,0.0191421,1.68752
8.20568,1.30124,0.0176685,1.68304
8.22251,1.2994,0.0206965,1.68645
8.2555,1.29769,0.0202291,1.6858
8.27225,1.30323,0.0218014,1.69311
8.28888,1.30587,0.0249918,1.68578
8.3056,1.3028,0.0280686,1.67855
8.32256,1.29983,0.0257402,1.67632
8.33862,1.2967,0.0273841,1.67869
8.35531,1.29614,0.0280998,1.67767
8.37207,1.29699,0.0276193,1.66968
